Модель;Комплектация;КПП;Двигатель
Outlander;Inform 2WD;2.0 MIVEC
Outlander;Invite 2WD;2.0 MIVEC
Outlander;Invite 4WD;2.0 MIVEC
Outlander;Intense 4WD ;2.0 MIVEC
Outlander;Instyle 4WD;2.0 MIVEC
Outlander;Instyle 4WD;2.4 MIVEC
Outlander;Ultimate 4WD;2.4 MIVEC
PAJERO SPORT;Invite;2.4 DI-D Diesel
PAJERO SPORT;Intense;2.4 DI-D Diesel
PAJERO SPORT;Instyle;2.4 DI-D Diesel
PAJERO SPORT;Ultimate;2.4 DI-D Diesel
PAJERO SPORT;Instyle;3.0 MIVEC
PAJERO SPORT;Ultimate;3.0 MIVEC
L200_NEW;DC Invite;2.4 DI-D
L200_NEW;DC Invite+;2.4 DI-D
L200_NEW;DC Intense;2.4 DI-D
L200_NEW;Intense;2.4 DI-D
L200_NEW;Instyle;2.4 DID H.P.
ASX;Inform 2WD;1.6 MIVEC
ASX;Invite 2WD;1.6 MIVEC
ASX;Intense 2WD;1.6 MIVEC
ASX;Intense 4WD;2.0 MIVEC
ASX;Instyle 4WD;2.0 MIVEC
ECLIPSE CROSS;Invite 2WD;1.5T MIVEC
ECLIPSE CROSS;Intense 2WD;1.5T MIVEC
ECLIPSE CROSS;Instyle 2WD;1.5T MIVEC
ECLIPSE CROSS;Instyle 4WD;1.5T MIVEC
ECLIPSE CROSS;Ultimate 4WD;1.5T MIVEC
PAJERO;Instyle ;3.0 
PAJERO;Ultimate ;3.0 
